Begin Time - msec	End Time - msec	Duration - msec	CHI	PAR	vcm@CHI	lex@CHI	mwu@CHI	SIB	dir@PAR	dir@SIB
3077	3840	763		a very cute farm.					S	
3840	4310	470		a very cute farm.				can get xxx?	S	A
4310	4370	60						can get xxx?		A
4370	5330	960		&=gasps the piggy!				can get xxx?	S	A
5330	6750	1420		&=gasps the piggy!					S	
7230	8620	1390						hello, I'm xxx!		A
9509	11230	1721		hello, I'm a piggy oink oink oink!					S	
11230	11330	100		hello, I'm a piggy oink oink oink!				do you want to go to that yummy food?	S	A
11330	14050	2720						do you want to go to that yummy food?		A
15040	17870	2830		&=laughs this food is much bigger than me!					S	
18120	19400	1280						do do do you wanna go?		A
20840	22180	1340						this is a lemon.		A
22470	24290	1820		that's a lemon as big as us!					S	
25220	26540	1320						yes we eat it up!		A
27390	30360	2970		Dyaln's eating that apple, or he wishes he was eating that apple					I	
30660	32060	1400						do you wanna eat the grapes?		I
32060	32450	390		trying to eat the apple?				do you wanna eat the grapes?	I	I
32450	33360	910		trying to eat the apple?					I	
33360	33400	40		trying to eat the apple?				do you wanna eat the grapes?	I	I
33400	34460	1060						do you wanna eat the grapes?		I
35920	37070	1150						do you wanna eat the grapes?		I
37140	38180	1040		&=smacks lips.					&=smacks lips.	
41200	43700	2500						this is another thing.		A
43750	45040	1290						what is that, par?		A
45360	46630	1270		um.					S	
46650	47190	540						is that a pumpkin?		A
47190	48110	920		it kind of looks like a pumpkin but it's very small.				is that a pumpkin?	S	A
48110	50630	2520		it kind of looks like a pumpkin but it's very small.					S	
50650	51770	1120		it could be a gourd.					S	
52800	55430	2630		you'll see a lot of those at Halloween in the fall.					S	
58677	63620	4943						are gourds -are gourds -food?		A
64370	68860	4490		&=laughs um yes you can eat gourds or people use them as decorations.					S	
68910	72330	3420		<here, I should've fixed your undies before we came in> [=! laughs].					S	
72440	74060	1620		I'm gonna fix this for you, honey					S	
76460	78680	2220						can we play cars?		A
79110	81550	2440		yes, are you excited about all these toys?					S	
82070	83260	1190						want this car?		A
83260	83970	710		sure.					S	
84280	87130	2850						vroom vroom vroom vroom!		A
88310	89560	1250						<xxx> [=! screams].		A
90460	91850	1390						can you have this one?		A
91920	92940	1020		sure!					S	
